judge_score_id,judge,judge_score,performance_id,season,week,week_theme,couple,primary_dance_style,primary_song,primary_song_artist,total_score,dance_style,music,result,week_title,celeb_name_part,pro_name_part,professional,celebrity,notability,film,era,original_couple,dance_chosen_by,tv_show,disney_film,film_theme,trio_partner,james_bond_film,dynamic_duo,professionals,icon,film_series,icons,mentor,horror_film_show,trio_dance_partner,villain,cirque_du_soleil_show,genre,broadway_show,television_show,musical,guest_judge,michael_jackson_theme
44,Bruno Tonioli,5.5,2879,11,4,Acoustic Week,Florence & Corky,Rumba,"""Yesterday""",The Beatles,17,Rumba,"""Yesterday""—The Beatles",Safe,Week 4: Acoustic Week,Florence,Corky,Corky Ballas,Florence Henderson,The Brady Bunch actress,,,,,,,,,,,,,,,,,,,,,,,,,
45,Carrie Ann Inaba,9.5,2880,11,4,Acoustic Week,Jennifer & Derek,Argentine Tango,"""La Cumparsita""",Gerardo Matos Rodríguez,27,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Safe,Week 4: Acoustic Week,Jennifer,Derek,Derek Hough,Jennifer Grey,Film & television actress,,,,,,,,,,,,,,,,,,,,,,,,,
46,Len Goodman,9.0,2880,11,4,Acoustic Week,Jennifer & Derek,Argentine Tango,"""La Cumparsita""",Gerardo Matos Rodríguez,27,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Safe,Week 4: Acoustic Week,Jennifer,Derek,Derek Hough,Jennifer Grey,Film & television actress,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bruno Tonioli,9.5,2880,11,4,Acoustic Week,Jennifer & Derek,Argentine Tango,"""La Cumparsita""",Gerardo Matos Rodríguez,27,Argentine tango,"""La Cumparsita""—Gerardo Matos Rodríguez",Safe,Week 4: Acoustic Week,Jennifer,Derek,Derek Hough,Jennifer Grey,Film & television actress,,,,,,,,,,,,,,,,,,,,,,,,,
48,Carrie Ann Inaba,5.0,2881,11,4,Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""",Rihanna feat. Jay-Z,18,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Safe,Week 4: Acoustic Week,Bristol,Mark,Mark Ballas,Bristol Palin,"Activist, author &---daughter of Sarah Palin",,,,,,,,,,,,,,,,,,,,,,,,,
49,Len Goodman,5.5,2881,11,4,Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""",Rihanna feat. Jay-Z,18,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Safe,Week 4: Acoustic Week,Bristol,Mark,Mark Ballas,Bristol Palin,"Activist, author &---daughter of Sarah Palin",,,,,,,,,,,,,,,,,,,,,,,,,
50,Bruno Tonioli,5.5,2881,11,4,Acoustic Week,Bristol & Mark,Rumba,"""Umbrella""",Rihanna feat. Jay-Z,18,Rumba,"""Umbrella""—Rihanna feat. Jay-Z",Safe,Week 4: Acoustic Week,Bristol,Mark,Mark Ballas,Bristol Palin,"Activist, author &---daughter of Sarah Palin",,,,,,,,,,,,,,,,,,,,,,,,,
51,Carrie Ann Inaba,8.0,2910,11,4,Acoustic Week,Audrina & Tony,Argentine Tango,"""Somebody to Love""",Jefferson Airplane,24,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Safe,Week 4: Acoustic Week,Audrina,Tony,Tony Dovolani,Audrina Patridge,The Hills star,,,,,,,,,,,,,,,,,,,,,,,,,
52,Len Goodman,7.5,2910,11,4,Acoustic Week,Audrina & Tony,Argentine Tango,"""Somebody to Love""",Jefferson Airplane,24,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Safe,Week 4: Acoustic Week,Audrina,Tony,Tony Dovolani,Audrina Patridge,The Hills star,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bruno Tonioli,7.5,2910,11,4,Acoustic Week,Audrina & Tony,Argentine Tango,"""Somebody to Love""",Jefferson Airplane,24,Argentine tango,"""Somebody to Love""—Jefferson Airplane",Safe,Week 4: Acoustic Week,Audrina,Tony,Tony Dovolani,Audrina Patridge,The Hills star,,,,,,,,,,,,,,,,,,,,,,,,,
108,Carrie Ann Inaba,7.0,0,2,1,No Theme,George & Edyta,Cha-Cha-Cha,"""Oye Como Va""",Santana,18,Cha-cha-cha,"""Oye Como Va""—Santana",Safe,Week 1,George,Edyta,Edyta Śliwińska,George Hamilton,Actor,,,,,,,,,,,,,,,,,,,,,,,,,
109,Len Goodman,5.0,0,2,1,No Theme,George & Edyta,Cha-Cha-Cha,"""Oye Como Va""",Santana,18,Cha-cha-cha,"""Oye Como Va""—Santana",Safe,Week 1,George,Edyta,Edyta Śliwińska,George Hamilton,Actor,,,,,,,,,,,,,,,,,,,,,,,,,
110,Bruno Tonioli,6.0,0,2,1,No Theme,George & Edyta,Cha-Cha-Cha,"""Oye Como Va""",Santana,18,Cha-cha-cha,"""Oye Como Va""—Santana",Safe,Week 1,George,Edyta,Edyta Śliwińska,George Hamilton,Actor,,,,,,,,,,,,,,,,,,,,,,,,,
111,Carrie Ann Inaba,5.0,1,2,1,No Theme,Lisa & Louis,Waltz,"""(You Make Me Feel Like) A Natural Woman""",Aretha Franklin,19,Waltz,"""(You Make Me Feel Like) A Natural Woman""—Aretha Franklin",Safe,Week 1,Lisa,Louis,Louis van Amstel,Lisa Rinna,Television actress & host,,,,,,,,,,,,,,,,,,,,,,,,,
112,Len Goodman,7.0,1,2,1,No Theme,Lisa & Louis,Waltz,"""(You Make Me Feel Like) A Natural Woman""",Aretha Franklin,19,Waltz,"""(You Make Me Feel Like) A Natural Woman""—Aretha Franklin",Safe,Week 1,Lisa,Louis,Louis van Amstel,Lisa Rinna,Television actress & host,,,,,,,,,,,,,,,,,,,,,,,,,
